id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
807,Cloud Engineer,Azure Cloud Engineer,Luminary Tech,"Sydney, Australia",Contract-to-Hire,"$110,000 – $130,000","We are hiring a Azure Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git"", ""Confluence""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery""]",7+ years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
808,Mobile App Developer,Cross-platform Mobile Developer,Pinnacle Software,"Bangalore, India",Contract,"$160,000 – $200,000","We are looking for a Cross-platform Mobile Developer to build beautiful, performant mobile experiences for our users.","[""Swift"", ""SwiftUI"", ""Xcode"", ""REST APIs"", ""Git"", ""Unit Testing""]","[""Espresso"", ""Detox"", ""Firebase"", ""Bitrise"", ""TDD"", ""PagerDuty""]",6+ years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
809,Cybersecurity Analyst,Information Security Analyst,Orion Software,"Bangalore, India",Contract-to-Hire,"$110,000 – $130,000","As a Information Security Analyst, you will be at the forefront of our cyber defense strategy.","[""Splunk"", ""Wireshark"", ""Vulnerability Scanning"", ""Python"", ""OWASP""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto""]",4-6 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
810,Data Analyst,Data Analyst,BlueSky Analytics,"Atlanta, GA",Full-time (Hybrid),"$200,000 – $250,000",We're looking for a Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Power BI"", ""Python"", ""Excel"", ""Statistics"", ""CI/CD"", ""Microservices""]","[""GA4"", ""Heap"", ""Looker"", ""Salesforce"", ""Pair Programming""]",3-5 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
811,Frontend Developer,Junior Frontend Developer,Pixel Dynamics,"Amsterdam, Netherlands",Contract-to-Hire,"$95,000 – $120,000","We're hiring a Junior Frontend Developer to craft intuitive, performant UIs for our SaaS platform.","[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma"", ""Unit Testing"", ""Code Review""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma"", ""OpenAPI""]",5-7 years,"[""Build responsive user interfaces using React and TypeScript"", ""Collaborate with UX designers to implement pixel-perfect designs"", ""Write unit and integration tests using Jest and React Testing Library"", ""Optimize application performance through lazy loading and code splitting"", ""Participate in code reviews and mentor junior developers""]"
812,Backend Developer,Python Backend Developer,Horizon Engineering,"Amsterdam, Netherlands",Full-time (Remote),"$90,000 – $110,000","As a Python Backend Developer, you will architect and implement core backend services that power our platform.","[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""Unit Testing""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""Swagger"", ""Pair Programming""]",3-5 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
813,Full Stack Developer,MERN Stack Developer,Vertex Systems,"Austin, TX",Full-time (Hybrid),"$95,000 – $120,000",We are hiring a MERN Stack Developer to work across our entire stack and deliver impactful product features.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""Pair Programming"", ""PagerDuty""]",5-7 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
814,Data Scientist,Staff Data Scientist,Nexus Systems,"Bangalore, India",Full-time,"$160,000 – $200,000",We're seeking a Staff Data Scientist to turn raw data into actionable insights that drive product growth.,"[""Python"", ""R"", ""Statistics"", ""Machine Learning"", ""SQL"", ""Microservices"", ""CI/CD""]","[""Airflow"", ""dbt"", ""BigQuery"", ""Plotly"", ""Pair Programming"", ""OpenAPI""]",4-6 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
815,Machine Learning Engineer,Lead ML Engineer,Cobalt Platforms,"Denver, CO",Contract,"$130,000 – $160,000",We're looking for a Lead ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon"", ""BDD"", ""Pair Programming""]",5-7 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
816,DevOps Engineer,Platform Engineer,Stratos AI,"Atlanta, GA",Full-time (Hybrid),"$70,000 – $90,000","As a Platform Engineer, you will own the reliability, scalability, and security of our cloud infrastructure.","[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash""]","[""Spinnaker"", ""Atlantis"", ""OPA"", ""Linkerd""]",5-7 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
817,Cloud Engineer,Cloud Architect,Orion Software,"London, UK",Full-time (Remote),"$200,000 – $250,000",Join our cloud team as a Cloud Architect and help architect the next generation of our platform.,"[""Multi-cloud"", ""Terraform"", ""Ansible"", ""Kubernetes"", ""Bash""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery""]",5-7 years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
818,Mobile App Developer,Cross-platform Mobile Developer,Pinnacle Software,"Toronto, ON",Full-time (Hybrid),"$160,000 – $200,000",We need a Cross-platform Mobile Developer to lead our mobile engineering efforts and drive platform quality.,"[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git"", ""Jira""]","[""Expo"", ""GraphQL"", ""Storybook"", ""Detox"", ""Pair Programming""]",0-2 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
819,Cybersecurity Analyst,Security Operations Engineer,Horizon Engineering,"Berlin, Germany",Full-time (Remote),"$70,000 – $90,000",We need a Security Operations Engineer to lead our security operations and build a resilient security posture.,"[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10"", ""Code Review"", ""Git""]","[""OSCP"", ""Elastic SIEM"", ""Threat Intelligence"", ""Ansible"", ""New Relic"", ""TDD""]",0-2 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
820,Data Analyst,Marketing Data Analyst,Nexus Systems,"San Francisco, CA",Full-time (Hybrid),"$150,000 – $180,000",We're looking for a Marketing Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Power BI"", ""Python"", ""Excel"", ""Statistics"", ""Code Review""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark""]",1-3 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
821,Frontend Developer,Angular Developer,NovaTech Solutions,"London, UK",Full-time (Hybrid),"$90,000 – $110,000","As a Angular Developer, you will own the frontend layer of our flagship product and drive UI excellence.","[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack"", ""Microservices"", ""Linux""]","[""WebAssembly"", ""PWA"", ""Nx Monorepo"", ""Chromatic""]",1-3 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
822,Backend Developer,Java Backend Engineer,InnovateTech,"Boston, MA",Full-time (Remote),"$80,000 – $100,000",We're looking for a skilled Java Backend Engineer to build the backbone of our cloud-native applications.,"[""Python"", ""FastAPI"", ""SQLAlchemy"", ""Redis"", ""RabbitMQ"", ""Git"", ""CI/CD""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry""]",1-3 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
823,Full Stack Developer,Full Stack Developer,CloudBridge,"Berlin, Germany",Contract-to-Hire,"$95,000 – $120,000",We're looking for a Full Stack Developer who thrives in ambiguity and can ship end-to-end product experiences.,"[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS""]","[""WebSockets"", ""Redis"", ""Pulumi"", ""Playwright"", ""OpenAPI""]",3-5 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
824,Data Scientist,Applied Scientist,Meridian Cloud,"Toronto, Canada",Full-time (Remote),"$80,000 – $100,000",We need a Applied Scientist to lead our analytics and modeling efforts across key business verticals.,"[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""CI/CD""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""PagerDuty"", ""Pair Programming""]",2-4 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
825,Machine Learning Engineer,Principal ML Engineer,DataVault Inc.,"Sydney, Australia",Contract,"$160,000 – $200,000",We're looking for a Principal ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS"", ""CI/CD"", ""REST APIs""]","[""ZenML"", ""Evidently"", ""Prometheus"", ""Grafana""]",3-5 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
826,DevOps Engineer,Senior DevOps Engineer,TechCorp,"Chicago, IL",Full-time,"$70,000 – $90,000",Join our platform team as a Senior DevOps Engineer and enable engineering velocity through world-class DevOps practices.,"[""ArgoCD"", ""Kubernetes"", ""GitHub Actions"", ""Vault"", ""Go"", ""CI/CD""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki"", ""Scrum"", ""BDD""]",7+ years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
827,Cloud Engineer,Lead Cloud Engineer,Cascade Data,Hybrid – NYC,Full-time,"$200,000 – $250,000","We are hiring a Lead Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git"", ""REST APIs""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco"", ""Pair Programming"", ""Scrum""]",1-3 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
828,Mobile App Developer,iOS Developer,CloudBridge,"Sydney, Australia",Full-time,"$130,000 – $160,000",We need a iOS Developer to lead our mobile engineering efforts and drive platform quality.,"[""React Native"", ""JavaScript"", ""TypeScript"", ""Redux"", ""REST APIs"", ""Confluence"", ""Microservices""]","[""Espresso"", ""Detox"", ""Firebase"", ""Bitrise""]",6+ years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
829,Cybersecurity Analyst,Information Security Analyst,Apex Digital,"Toronto, ON",Full-time (Remote),"$80,000 – $100,000","As a Information Security Analyst, you will be at the forefront of our cyber defense strategy.","[""SIEM"", ""IDS/IPS"", ""Network Security"", ""Linux"", ""TCP/IP""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto"", ""New Relic"", ""Scrum""]",8+ years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
830,Data Analyst,Marketing Data Analyst,Pixel Dynamics,Hybrid – NYC,Contract-to-Hire,"$200,000 – $250,000",We need a Marketing Data Analyst to own analytics reporting and help the organization measure what matters.,"[""SQL"", ""Excel"", ""Tableau"", ""Python"", ""Data Visualization""]","[""Databricks"", ""Sigma"", ""Census"", ""Hightouch""]",3-5 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
831,Frontend Developer,Angular Developer,InnovateTech,Remote,Full-time (Remote),"$150,000 – $180,000",We are looking for a talented Angular Developer to join our product engineering team and help build world-class web experiences.,"[""HTML"", ""CSS"", ""JavaScript"", ""Next.js"", ""GraphQL"", ""Linux""]","[""Accessibility (WCAG)"", ""Micro-frontends"", ""Vite"", ""Playwright"", ""TDD"", ""Swagger""]",7+ years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
832,Backend Developer,Backend Architect,Cobalt Platforms,"Berlin, Germany",Full-time,"$160,000 – $200,000",We're looking for a skilled Backend Architect to build the backbone of our cloud-native applications.,"[""Java"", ""Spring Boot"", ""MySQL"", ""Kafka"", ""Maven"", ""Linux""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD"", ""Scrum"", ""BDD""]",1-3 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
833,Full Stack Developer,Software Engineer – Full Stack,Apex Digital,"Toronto, ON",Full-time,"$95,000 – $120,000",We are hiring a Software Engineer – Full Stack to work across our entire stack and deliver impactful product features.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Microservices""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""BDD""]",5-7 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
834,Data Scientist,Applied Scientist,Stratos AI,"Amsterdam, Netherlands",Contract-to-Hire,"$70,000 – $90,000",We're seeking a Applied Scientist to turn raw data into actionable insights that drive product growth.,"[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""Code Review""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""Slack"", ""Scrum""]",8+ years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
835,Machine Learning Engineer,NLP Engineer,Cascade Data,Singapore,Contract-to-Hire,"$95,000 – $120,000","As a NLP Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git"", ""Confluence"", ""Code Review""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex"", ""New Relic"", ""Slack""]",1-3 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
836,DevOps Engineer,Release Engineer,Horizon Engineering,"Atlanta, GA",Contract-to-Hire,"$130,000 – $160,000","As a Release Engineer, you will own the reliability, scalability, and security of our cloud infrastructure.","[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python""]","[""Spinnaker"", ""Atlantis"", ""OPA"", ""Linkerd""]",7+ years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
837,Cloud Engineer,Principal Cloud Engineer,CloudBridge,"New York, NY",Full-time,"$95,000 – $120,000",Join our cloud team as a Principal Cloud Engineer and help architect the next generation of our platform.,"[""AWS"", ""Terraform"", ""Python"", ""Docker"", ""Linux"", ""Confluence"", ""Agile""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery"", ""OpenAPI"", ""Postman""]",5-7 years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
838,Mobile App Developer,Senior Mobile Developer,DataVault Inc.,"London, UK",Full-time (Remote),"$110,000 – $130,000",Join our mobile team as a Senior Mobile Developer and help ship features to millions of iOS and Android users.,"[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git"", ""Jira""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel"", ""TDD""]",2-4 years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
839,Cybersecurity Analyst,Cloud Security Engineer,BlueSky Analytics,Hybrid – NYC,Full-time (Remote),"$150,000 – $180,000","As a Cloud Security Engineer, you will be at the forefront of our cyber defense strategy.","[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10"", ""Confluence""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""Pair Programming"", ""Swagger""]",6-8 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
840,Data Analyst,Principal Data Analyst,Pinnacle Software,"London, UK",Contract,"$160,000 – $200,000",We're looking for a Principal Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git"", ""Microservices"", ""REST APIs""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""BDD"", ""Swagger""]",5-7 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
841,Frontend Developer,Frontend Developer,Apex Digital,"Sydney, Australia",Full-time,"$200,000 – $250,000","As a Frontend Developer, you will own the frontend layer of our flagship product and drive UI excellence.","[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma"", ""Confluence"", ""Microservices""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD"", ""OpenAPI""]",7+ years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
842,Backend Developer,Node.js Developer,BlueSky Analytics,"Amsterdam, Netherlands",Contract-to-Hire,"$130,000 – $160,000",We're looking for a skilled Node.js Developer to build the backbone of our cloud-native applications.,"[""Python"", ""Django"", ""PostgreSQL"", ""REST APIs"", ""Git""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest"", ""New Relic"", ""BDD""]",7+ years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
843,Full Stack Developer,MERN Stack Developer,TechCorp,Singapore,Full-time (Remote),"$160,000 – $200,000","As a MERN Stack Developer, you will own features from database to UI in a fast-paced startup environment.","[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Confluence""]","[""Storybook"", ""Datadog"", ""Sentry"", ""Auth0"", ""BDD"", ""Pair Programming""]",5-7 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
844,Data Scientist,Lead Data Scientist,Synapse AI,Hybrid – SF,Full-time (Remote),"$95,000 – $120,000","As a Lead Data Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""PyTorch"", ""A/B Testing"", ""SQL"", ""Matplotlib"", ""Code Review""]","[""Looker"", ""Snowflake"", ""XGBoost"", ""Weights & Biases""]",2-4 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
845,Machine Learning Engineer,Applied ML Engineer,Orion Software,"Sydney, Australia",Contract,"$80,000 – $100,000",Join our AI team as a Applied ML Engineer and work on cutting-edge models deployed at scale.,"[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git"", ""Jira""]","[""ZenML"", ""Evidently"", ""Prometheus"", ""Grafana"", ""New Relic"", ""Postman""]",5-7 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
846,DevOps Engineer,Site Reliability Engineer,InnovateTech,"Boston, MA",Full-time,"$95,000 – $120,000",We need a Site Reliability Engineer to lead our DevOps transformation and drive continuous delivery at scale.,"[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki"", ""Swagger""]",1-3 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
847,Cloud Engineer,AWS Cloud Engineer,NovaTech Solutions,"Los Angeles, CA",Full-time (Remote),"$90,000 – $110,000","As a AWS Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""GCP"", ""Terraform"", ""Go"", ""Kubernetes"", ""CI/CD""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery"", ""Pair Programming""]",3-5 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
848,Mobile App Developer,Flutter Developer,CloudBridge,"Austin, TX",Contract-to-Hire,"$110,000 – $130,000","As a Flutter Developer, you will own mobile feature development and ensure a world-class app experience.","[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git""]","[""BLoC"", ""Riverpod"", ""Hive"", ""Crashlytics"", ""TDD""]",0-2 years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
849,Cybersecurity Analyst,Principal Security Architect,Cascade Data,Hybrid – NYC,Full-time (Remote),"$90,000 – $110,000",We need a Principal Security Architect to lead our security operations and build a resilient security posture.,"[""SIEM"", ""IDS/IPS"", ""Network Security"", ""Linux"", ""TCP/IP"", ""Code Review""]","[""OSCP"", ""Elastic SIEM"", ""Threat Intelligence"", ""Ansible"", ""PagerDuty"", ""BDD""]",2-4 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
850,Data Analyst,Marketing Data Analyst,BlueSky Analytics,"Boston, MA",Full-time,"$160,000 – $200,000",Join our analytics team as a Marketing Data Analyst and help us build a data-driven culture.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git"", ""Agile"", ""Confluence""]","[""GA4"", ""Heap"", ""Looker"", ""Salesforce""]",3-5 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
